ID,y
1,82.68826
2,97.39817
3,83.23379
4,77.28365
5,112.65141
8,91.46636
10,100.34698
11,93.88739
12,117.34377
14,96.014565
15,115.85342
16,105.314384
17,101.16163
19,90.98442
20,100.37134
21,104.32635
22,118.81992
23,101.16163
26,95.577065
28,95.82659
29,101.16163
33,101.16163
35,94.119675
41,101.16163
42,94.73522
43,113.7457
45,102.1694
46,100.97518
51,94.51586
53,85.15771
55,109.22741
56,105.70378
57,110.112015
58,99.16841
59,104.67941
63,105.30226
64,94.13056
65,100.64336
69,97.17888
71,99.2316
72,104.56246
73,95.72548
76,105.22894
77,96.917274
78,116.443665
82,94.48145
83,100.64336
84,100.504395
85,106.86092
87,110.37945
88,101.16163
89,110.22863
91,97.74868
93,102.30518
94,105.58685
95,99.994675
96,111.02706
97,95.1367
98,109.68148
99,99.32248
101,105.85324
103,110.22863
104,93.58458
105,110.20287
110,97.05542
111,102.50575
113,105.081085
114,96.766624
115,111.40021
117,110.22863
120,95.77676
121,113.09028
122,94.20422
123,106.16017
126,108.13025
132,109.14391
135,110.32905
137,102.42245
138,95.02058
140,104.10961
142,108.72189
144,110.62127
148,91.97685
149,114.008965
155,103.547646
156,111.74195
157,95.1367
162,113.12867
163,96.00066
167,94.87817
172,113.7457
179,107.10553
180,94.33022
181,108.07503
182,96.96334
183,110.22863
185,110.22863
187,107.132545
188,93.0506
189,94.37752
191,94.28719
192,103.697464
193,93.99725
194,107.843025
195,94.847374
196,99.30449
198,109.00186
199,111.01375
201,100.08662
204,95.16091
205,105.94733
206,107.31941
210,96.94196
211,105.85324
216,111.52581
219,117.34377
220,92.42255
221,109.225784
226,108.07503
227,92.771774
228,110.00655
230,109.82437
231,95.1367
235,118.81992
236,98.958275
238,111.72119
242,104.39869
243,94.19697
244,80.063034
245,110.85106
247,117.19164
248,95.024155
249,91.12428
250,113.392136
251,98.958275
253,118.81992
254,95.418945
256,95.343285
257,92.07306
258,108.8895
259,99.021835
262,91.77831
266,101.799515
267,113.12352
272,104.09988
273,110.22863
275,94.24972
276,108.959076
279,93.19969
280,100.64336
283,92.873726
285,109.747536
288,110.22863
289,108.71058
290,100.61669
291,95.255486
292,105.74514
293,105.30583
296,94.00499
297,105.56846
298,116.48283
299,94.028305
304,91.41549
305,87.01317
306,94.88285
307,108.89829
311,103.888855
313,109.01484
314,92.7227
316,109.18229
324,112.656136
327,98.39171
329,92.29047
330,109.65472
337,97.843864
338,95.0269
339,100.20034
340,93.46739
343,93.61216
345,115.85342
346,96.511284
347,112.43483
349,110.134605
350,94.2891
352,103.26147
353,92.765884
354,91.25688
357,95.95885
358,107.46764
362,108.045135
364,104.14487
365,101.61995
366,102.0841
367,106.76354
368,93.871605
370,81.37826
373,98.87906
377,93.94341
378,107.49691
382,105.22894
384,110.07897
390,97.83236
392,111.83118
393,111.9768
395,94.25954
396,96.8677
399,80.573944
406,109.01484
408,109.01484
409,94.68479
410,80.22384
412,112.668144
413,89.72063
419,99.72536
420,105.593056
421,89.99788
430,106.39426
434,93.46016
436,95.07005
437,102.52071
438,90.896706
439,110.87652
440,102.33054
443,101.99137
446,95.21063
448,93.22512
452,94.417816
453,108.836624
457,99.305504
458,94.69402
459,114.10554
460,103.86308
462,103.752106
464,101.208534
465,117.34377
467,112.599724
471,106.677155
472,77.01409
473,105.2081
475,95.9178
480,102.34005
488,105.6351
490,108.89829
491,104.951004
492,83.31779
493,97.860565
497,93.56523
498,107.69314
499,94.46882
500,100.99893
501,94.9269
502,111.32236
506,88.084175
510,107.39274
511,90.78257
512,93.91296
516,94.0804
518,97.34337
519,112.43483
521,91.34981
522,111.72585
526,114.30357
529,107.975685
532,111.933
533,95.12276
536,111.26698
537,95.173874
539,94.92205
540,105.51502
541,96.71119
543,93.64095
546,109.96608
547,98.74205
548,91.190155
551,94.90443
552,107.3267
556,101.05067
557,101.543976
558,106.76354
559,94.313644
560,105.531845
562,104.86662
566,98.203804
570,107.69314
571,102.52071
572,100.64336
573,93.52928
575,117.34377
576,109.17319
577,95.36519
579,90.78014
580,112.22108
581,108.64355
589,108.89829
591,101.79919
593,95.513176
594,105.74656
595,94.90732
598,95.004906
602,106.47442
604,111.57756
606,107.524956
608,102.16726
609,105.85324
610,96.70442
616,108.606766
617,94.701065
618,107.45299
620,107.19621
622,102.10429
623,89.120865
624,109.36961
626,112.25875
628,111.96708
629,97.15923
630,109.82437
637,91.77806
638,101.35194
643,105.81833
645,102.34005
646,111.972664
648,94.67929
652,99.089485
653,101.58626
654,107.69314
656,110.94242
657,104.47345
659,100.6654
660,109.66751
663,93.30483
664,110.282585
666,107.38175
668,104.77025
669,94.39981
671,95.13253
675,90.77815
677,97.19316
678,107.73513
679,103.84369
682,105.908516
685,107.41938
687,96.406685
688,94.633514
693,111.72535
696,98.65356
698,93.70177
701,99.91904
704,97.81365
705,117.21036
709,103.70346
710,99.023964
711,108.173454
712,99.27911
714,110.36524
715,90.5632
716,108.89829
717,94.481964
720,115.85342
721,94.28719
724,105.875374
725,95.49559
726,100.74999
728,110.75266
731,97.50747
